,Specimen_name,Age,CS,Subclass,Major_clades,Species,CS_logged,CS_percent_adult,Percent_binned,CS_binned,CS_binned_group,Ordered,Binned_age,Dev_strategy,Diet,Diet_3
1,Bettongia_penicillata_SAM-24228_80days,I,174.3897803,Metatheria,Marsupialia,Bettongia penicillata,5.161292911,62.56896681,Group3,I,Group2,8,Group3,Super-altricial,Fungivore,Herbivore
2,Bettongia_penicillata_SAM-24230_46days,I,113.8225753,Metatheria,Marsupialia,Bettongia penicillata,4.734640879,40.83817827,Group2,I,Group2,5,Group2,Super-altricial,Fungivore,Herbivore
3,Bettongia_penicillata_SAM-24233_13-15days,E,50.69059356,Metatheria,Marsupialia,Bettongia penicillata,3.925740362,18.18717852,Group1,E,Group1,1,Group1,Super-altricial,Fungivore,Herbivore
4,Bettongia_penicillata_SAM-24238_35days,I,96.21636923,Metatheria,Marsupialia,Bettongia penicillata,4.566599502,34.52128217,Group2,I,Group2,4,Group2,Super-altricial,Fungivore,Herbivore
5,Bettongia_penicillata_SAM-24239_20days,E,65.18564174,Metatheria,Marsupialia,Bettongia penicillata,4.177239226,23.38782839,Group1,E,Group1,2,Group1,Super-altricial,Fungivore,Herbivore
6,Bettongia_penicillata_SAM-24240_56days,I,134.2206464,Metatheria,Marsupialia,Bettongia penicillata,4.899485061,48.15676215,Group2,I,Group2,6,Group2,Super-altricial,Fungivore,Herbivore
7,Bettongia_penicillata_SAM-24243_85+days,I,189.2503713,Metatheria,Marsupialia,Bettongia penicillata,5.243070854,67.90076908,Group3,SA,Group3,9,Group3,Super-altricial,Fungivore,Herbivore
8,Bettongia_penicillata_SAM-24244_28days,I,90.77981813,Metatheria,Marsupialia,Bettongia penicillata,4.508436994,32.57071268,Group2,I,Group2,3,Group2,Super-altricial,Fungivore,Herbivore
9,Bettongia_penicillata_SAM-24246_60-69days,I,149.1066029,Metatheria,Marsupialia,Bettongia penicillata,5.004661506,53.49766525,Group2,I,Group2,7,Group3,Super-altricial,Fungivore,Herbivore
10,Bettongia_penicillata_SAM-24247_adult,A,278.7160939,Metatheria,Marsupialia,Bettongia penicillata,5.630193679,100,Group4,A,Group4,10,Group4,Super-altricial,Fungivore,Herbivore
11,Bradypus_tridactylus_NHMUK_1867.4.12.579,A,311.0235809,Eutheria,Xenarthra,Bradypus tridactylus,5.739868732,100,Group4,A,Group4,7,Group4,Semi-precocial,Herbivore,Herbivore
12,Bradypus_tridactylus_NHMUK_1989.226,I,178.0435313,Eutheria,Xenarthra,Bradypus tridactylus,5.182028078,57.24438346,Group3,I,Group2,4,Group2,Semi-precocial,Herbivore,Herbivore
13,Bradypus_tridactylus_NHMUK_1994.6,E,139.3558528,Eutheria,Xenarthra,Bradypus tridactylus,4.937030754,44.8055586,Group2,E,Group1,2,Group1,Semi-precocial,Herbivore,Herbivore
14,Bradypus_tridactylus_NHMUK_52.1173,I,178.3923011,Eutheria,Xenarthra,Bradypus tridactylus,5.183985064,57.35651959,Group3,I,Group2,5,Group2,Semi-precocial,Herbivore,Herbivore
15,Bradypus_tridactylus_NHMUK_no_number,I,213.2965701,Eutheria,Xenarthra,Bradypus tridactylus,5.362683545,68.57890629,Group3,SA,Group3,6,Group3,Semi-precocial,Herbivore,Herbivore
16,Bradypus_tridactylus_ZMB_18834,E,149.664231,Eutheria,Xenarthra,Bradypus tridactylus,5.008394325,48.11989836,Group2,E,Group1,3,Group1,Semi-precocial,Herbivore,Herbivore
17,Bradypus_tridactylus_ZMB_9195,E,125.5106686,Eutheria,Xenarthra,Bradypus tridactylus,4.832390764,40.35406841,Group2,E,Group1,1,Group1,Semi-precocial,Herbivore,Herbivore
18,Cebus_apella_NHMUK_12.6.5.8,A,393.3895807,Eutheria,Euarchontoglires,Cebus apella,5.97480042,100,Group4,A,Group4,6,Group4,Semi-altricial,Frugivore,Herbivore
19,Cebus_apella_NHMUK_28.2.9.3,I,302.1007601,Eutheria,Euarchontoglires,Cebus apella,5.710760604,76.79429627,Group3,I,Group2,4,Group3,Semi-altricial,Frugivore,Herbivore
20,Cebus_apella_NHMUK_3.7.25.1,I,308.257281,Eutheria,Euarchontoglires,Cebus apella,5.730934762,78.35928965,Group4,SA,Group3,5,Group3,Semi-altricial,Frugivore,Herbivore
21,Cebus_apella_NHMUK_67.4.12.394,E,174.3636992,Eutheria,Euarchontoglires,Cebus apella,5.161143343,44.32341571,Group2,E,Group1,1,Group1,Semi-altricial,Frugivore,Herbivore
22,Cebus_apella_NHMUK_71.3174,I,243.7420228,Eutheria,Euarchontoglires,Cebus apella,5.496110382,61.95945057,Group3,I,Group2,2,Group2,Semi-altricial,Frugivore,Herbivore
23,Cebus_apella_NHMUK_71.3177,I,293.5782696,Eutheria,Euarchontoglires,Cebus apella,5.68214428,74.6278712,Group3,I,Group2,3,Group2,Semi-altricial,Frugivore,Herbivore
24,Cyclopes_didactylus_NHMUK_2010.105,I,120.7254585,Eutheria,Xenarthra,Cyclopes didactylus,4.79351903,57.26188524,Group3,I,Group2,2,Group2,Semi-precocial,Insectivore,Faunivore
25,Cyclopes_didactylus_NHMUK_26.12.4.68,A,210.8303944,Eutheria,Xenarthra,Cyclopes didactylus,5.351053992,100,Group4,A,Group4,4,Group4,Semi-precocial,Insectivore,Faunivore
26,Cyclopes_didactylus_NHMUK_55.12.36.345,I,139.6805272,Eutheria,Xenarthra,Cyclopes didactylus,4.939357866,66.25255699,Group3,SA,Group3,3,Group3,Semi-precocial,Insectivore,Faunivore
27,Cyclopes_didactylus_ZMB_6XII1906a,E,114.4251479,Eutheria,Xenarthra,Cyclopes didactylus,4.739920879,54.27355397,Group3,E,Group1,1,Group1,Semi-precocial,Insectivore,Faunivore
28,Dasyprocta_leporina_NHMUK_12.5.11.8,I,314.3365266,Eutheria,Euarchontoglires,Dasyprocta leporina,5.750464153,80.40098484,Group4,SA,Group3,7,Group3,Precocial,Herbivore,Herbivore
29,Dasyprocta_leporina_NHMUK_52.1156,A,390.9610401,Eutheria,Euarchontoglires,Dasyprocta leporina,5.968607913,100,Group4,A,Group4,8,Group4,Precocial,Herbivore,Herbivore
30,Dasyprocta_leporina_NHMUK_67.4.12.472,I,200.4212802,Eutheria,Euarchontoglires,Dasyprocta leporina,5.300421552,51.26374744,Group2,I,Group2,4,Group2,Precocial,Herbivore,Herbivore
31,Dasyprocta_leporina_NHMUK_67.4.12.497,I,207.4232045,Eutheria,Euarchontoglires,Dasyprocta leporina,5.334761172,53.05469938,Group2,I,Group2,5,Group2,Precocial,Herbivore,Herbivore
